eps	lpsp_pct	degradation_keur	eens_kwh	j_voll3_keur	soh_bat	soh_fc	soh_ely	wall_seconds
0.05	10.43992656	1.496523969	2186.73739	8.056736139	0.954280273	0.986342604	0.9971262965	353.3217278
0.1	3.700016682	1.632008544	775.0020819	3.957014789	0.954778057	0.9826407511	0.996020219	649.5470796
0.12	2.274937349	1.673167755	476.5062792	3.102686592	0.954854401	0.9816493738	0.9956860253	503.5223663
0.15	1.247965407	1.701505529	261.3976832	2.485698579	0.9545073067	0.981070173	0.9955426744	645.8632038
0.2	0.712344878	1.716654165	149.2071012	2.164275469	0.9541608397	0.9810438579	0.9954703418	603.0281959
0.25	0.5425651053	1.722901937	113.6451866	2.063837496	0.9538479364	0.9809353233	0.9954953556	583.3117216
0.3	0.4400372321	1.728188493	92.16979281	2.004697872	0.9537617631	0.9809301505	0.9954609276	648.3724892
0.35	0.3791756872	1.732594362	79.42178976	1.970859731	0.9536551973	0.9808234161	0.9954538934	613.2369826
0.5	0.314785987	1.738026877	65.93478254	1.935831225	0.9535437409	0.9807298678	0.9954354165	644.8266904
0.75	0.2072678218	1.749939183	43.41412682	1.880181563	0.9532033454	0.9808318044	0.9953799715	522.9900229
1	0.1625995	1.755365257	34.05794132	1.857539081	0.953394491	0.9807237348	0.995287813	649.2680602
1.5	0.1464864875	1.760623335	30.68292457	1.852672109	0.953106215	0.9807298843	0.9953027409	645.257874
2	0.1342535337	1.761963595	28.12062136	1.846325459	0.9531093723	0.9806734329	0.9952947535	647.9158599
3	0.1261915861	1.765935733	26.43197325	1.845231652	0.9530472886	0.9806157448	0.9952750373	304.9021747
4	0.1227058774	1.769752187	25.70185992	1.846857767	0.9529943426	0.9805526807	0.9952553868	638.0291531
6	0.1190824148	1.770663021	24.94289278	1.8454917	0.9531237469	0.980513012	0.9952183345	637.9480903
10	0.1216823717	1.771068605	25.48747735	1.847531038	0.9528502652	0.9806189836	0.9952688797	443.8977766
20	0.1201658899	1.775486936	25.16983648	1.850996445	0.953074351	0.9804750513	0.9951838281	648.5788646
50	0.1182795145	1.776427462	24.77471804	1.850751616	0.9527820606	0.9805150964	0.9952416972	295.4405019
