strategy	label	epsilon	lpsp_pct	degradation_keur	j_voll3_keur
DP	DP eps=0.05	0.05	10.4399	1.497	8.0567
DP	DP eps=0.1	0.1	3.7000	1.632	3.9560
DP	DP eps=0.12	0.12	2.2749	1.673	3.1024
DP	DP eps=0.15	0.15	1.2480	1.702	2.4862
DP	DP eps=0.2	0.2	0.7123	1.717	2.1645
DP	DP eps=0.25	0.25	0.5426	1.723	2.0639
DP	DP eps=0.3	0.3	0.4400	1.728	2.0045
DP	DP eps=0.35	0.35	0.3792	1.733	1.9713
DP	DP eps=0.5	0.5	0.3148	1.738	1.9358
DP	DP eps=0.75	0.75	0.2073	1.750	1.8803
DP	DP eps=1	1	0.1626	1.755	1.8572
DP	DP eps=1.5	1.5	0.1465	1.761	1.8530
DP	DP eps=2	2	0.1343	1.762	1.8464
DP	DP eps=3	3	0.1262	1.766	1.8453
DP	DP eps=4	4	0.1227	1.770	1.8471
DP	DP eps=6	6	0.1191	1.771	1.8458
DP	DP eps=10	10	0.1217	1.771	1.8475
DP	DP eps=20	20	0.1202	1.775	1.8505
DP	DP eps=50	50	0.1183	1.776	1.8503
MPC	MPC H6 sans SoH		0.675817	2.256612	2.681280
MPC	MPC H6 SoH FC+ELY		0.674036	2.256182	2.679730
MPC	MPC H24 sans SoH		0.262979	2.375768	2.541018
MPC	MPC H24 SoH FC+ELY		0.262213	2.377833	2.542602
RB	RB1		0.600744	2.511147	2.888640
RB	RB2		0.616762	2.676641	3.064200
