label	fc_previous_above_new_cap_steps	ely_previous_above_new_cap_steps	max_fc_excess_w	max_ely_excess_w
mpc_no_soh_h24_noisy_s0p5_r202601	1753	24	0.130656983064	0.758829727052
mpc_no_soh_h24_noisy_s0p5_r202602	1748	22	0.13055415277	0.767636206929
mpc_no_soh_h24_noisy_s0p5_r202603	1759	18	0.130656983348	0.767765777677
mpc_no_soh_h24_noisy_s0p5_r202604	1725	20	0.130656983064	0.758881431779
mpc_no_soh_h24_noisy_s0p5_r202605	1796	23	0.130656983064	0.767650023106
mpc_no_soh_h24_noisy_s1p0_r202601	2034	31	0.130656983064	0.767363676394
mpc_no_soh_h24_noisy_s1p0_r202602	2037	25	0.130656983336	0.766614049979
mpc_no_soh_h24_noisy_s1p0_r202603	2088	28	0.130655780428	0.767543700709
mpc_no_soh_h24_noisy_s1p0_r202605	2044	27	0.130652842634	0.767365209125
mpc_no_soh_h24_noisy_s1p5_r202601	2208	44	0.130656983064	0.767328795686
mpc_no_soh_h24_noisy_s1p5_r202602	2253	54	0.130656983364	0.767635596487
mpc_no_soh_h24_noisy_s1p5_r202603	2263	40	0.130656629468	0.767347603371
mpc_no_soh_h24_noisy_s1p5_r202604	2193	43	0.130656983064	0.767499514011
mpc_no_soh_h24_noisy_s1p5_r202605	2233	48	0.130656336398	0.76742238411
mpc_no_soh_h24_perfect	748	17	0.130656983064	0.760666371862
mpc_no_soh_h24_persistence	1530	4	0.130659465144	0.74445342569
mpc_soh_both1_h24_noisy_s0p5_r202601	1732	21	0.130656983064	0.767560138516
mpc_soh_both1_h24_noisy_s0p5_r202602	1708	17	0.13055415277	0.758740942209
mpc_soh_both1_h24_noisy_s0p5_r202603	1722	17	0.130656983348	0.758599040313
mpc_soh_both1_h24_noisy_s0p5_r202604	1711	20	0.130656983064	0.761242293425
mpc_soh_both1_h24_noisy_s0p5_r202605	1779	25	0.130656983064	0.767623967724
mpc_soh_both1_h24_noisy_s1p0_r202601	2011	24	0.130656983064	0.767402146404
mpc_soh_both1_h24_noisy_s1p0_r202602	2000	30	0.130656983336	0.76763274887
mpc_soh_both1_h24_noisy_s1p0_r202603	2055	24	0.130655780428	0.767543756214
mpc_soh_both1_h24_noisy_s1p0_r202604	1989	29	0.130656983064	0.767521387588
mpc_soh_both1_h24_noisy_s1p0_r202605	2018	27	0.130652842634	0.767373835581
mpc_soh_both1_h24_noisy_s1p5_r202601	2169	44	0.130656983064	0.767242016398
mpc_soh_both1_h24_noisy_s1p5_r202602	2198	46	0.130656983364	0.767479088558
mpc_soh_both1_h24_noisy_s1p5_r202603	2208	42	0.130656629468	0.767384459519
mpc_soh_both1_h24_noisy_s1p5_r202604	2193	41	0.130656983064	0.767519575304
mpc_soh_both1_h24_noisy_s1p5_r202605	2184	47	0.130656336398	0.767508938108
mpc_soh_both1_h24_perfect	851	18	0.130656983064	0.76067281593
mpc_soh_both1_h24_persistence	1624	4	0.130659465144	0.749338203026
