1.620,40.957 
1.820,44.266 
1.625,42.733 
1.907,46.766 
2.095,49.846 
1.965,48.561 
2.320,52.396 
2.440,54.579 
2.635,56.047 
2.863,57.841 
3.013,59.201 
3.288,60.948 
3.692,62.875 
4.185,64.560 
4.763,66.342 
5.518,67.856 
6.692,69.331 
8.998,70.757 
12.082,71.415 
15.235,71.521 
18.298,71.384 
21.400,71.129 
24.500,70.828 
27.600,70.502 
30.700,70.172 
33.802,69.836 
36.902,69.510 
40.002,69.198 
43.102,68.893 
46.203,68.594 
49.303,68.310 
52.403,68.022 
55.505,67.751 
58.605,67.493 
61.705,67.240 
64.805,67.003 
67.907,66.764 
71.007,66.538 
74.107,66.316 
77.207,66.097 
80.308,65.882 
83.408,65.678 
86.508,65.476 
89.608,65.291 
92.710,65.100 
95.810,64.920 
98.722,64.754 
