0.577,2.243
1.629,5.949
2.681,9.174
4.416,14.22
5.709,18.06
6.94,21.712
8.202,25.224
9.537,28.798
10.83,32.092
12.459,36.151
14.071,39.821
16.111,44.037
18.237,47.787
21.964,52.79
24.577,54.672
26.475,55.382
29.934,55.397
31.873,55.016
34.892,54.157
37.375,53.483
38.685,53.177
41.515,52.488
44.03,51.954
47,51.552
48.957,51.353
51.708,50.976
54.128,50.597
56.441,50.202
59.229,49.841
64.504,48.982
66.88,48.629
69.5,48.329
71.702,48.027
74.427,47.728
76.943,47.427
80.117,47.041
82.393,46.704
84.908,46.294
88.053,45.763
90.718,45.174
93.473,44.563
96.254,43.774
98.271,43.16
